8.8,4.8,8.4,0.1,Amanita-muscaria
4.3,4.0,8.4,0.1,Amanita-muscaria
4.7,4.1,8.4,0.1,Amanita-muscaria
4.6,4.8,8.8,0.1,Amanita-muscaria
8.0,4.6,8.4,0.1,Amanita-muscaria
8.4,4.3,8.7,0.4,Amanita-muscaria
4.6,4.4,8.4,0.4,Amanita-muscaria
8.0,4.4,8.8,0.1,Amanita-muscaria
4.4,1.3,8.4,0.1,Amanita-muscaria
4.3,4.8,8.8,0.8,Amanita-muscaria
8.4,4.7,8.8,0.1,Amanita-muscaria
4.8,4.4,8.6,0.1,Amanita-muscaria
4.8,4.0,8.4,0.8,Amanita-muscaria
4.4,4.0,8.8,0.8,Amanita-muscaria
8.8,4.0,8.1,0.1,Amanita-muscaria
8.7,4.4,8.8,0.4,Amanita-muscaria
8.4,4.3,8.4,0.4,Amanita-muscaria
8.8,4.8,8.4,0.4,Amanita-muscaria
8.7,4.8,8.7,0.4,Amanita-muscaria
8.8,4.8,8.8,0.4,Amanita-muscaria
8.4,4.4,8.7,0.1,Amanita-muscaria
8.8,4.7,8.8,0.4,Amanita-muscaria
4.6,4.6,8.0,0.1,Amanita-muscaria
8.8,4.4,8.7,0.8,Amanita-muscaria
4.8,4.4,8.3,0.1,Amanita-muscaria
8.0,4.0,8.6,0.1,Amanita-muscaria
8.0,4.4,8.6,0.4,Amanita-muscaria
8.1,4.8,8.8,0.1,Amanita-muscaria
8.1,4.4,8.4,0.1,Amanita-muscaria
4.7,4.1,8.6,0.1,Amanita-muscaria
4.8,4.8,8.6,0.1,Amanita-muscaria
8.4,4.4,8.8,0.4,Amanita-muscaria
8.1,4.8,8.8,0.8,Amanita-muscaria
8.8,4.1,8.4,0.1,Amanita-muscaria
4.3,4.8,8.8,0.8,Amanita-muscaria
8.0,4.1,8.1,0.1,Amanita-muscaria
8.8,4.8,8.4,0.1,Amanita-muscaria
4.3,4.8,8.8,0.8,Amanita-muscaria
4.4,4.0,8.4,0.1,Amanita-muscaria
8.8,4.4,8.8,0.1,Amanita-muscaria
8.0,4.8,8.4,0.4,Amanita-muscaria
4.8,1.4,8.4,0.4,Amanita-muscaria
4.4,4.1,8.4,0.1,Amanita-muscaria
8.0,4.8,8.6,0.6,Amanita-muscaria
8.8,4.8,8.3,0.4,Amanita-muscaria
4.8,4.0,8.4,0.4,Amanita-muscaria
8.8,4.8,8.6,0.1,Amanita-muscaria
4.6,4.1,8.4,0.1,Amanita-muscaria
8.4,4.7,8.8,0.1,Amanita-muscaria
8.0,4.4,8.4,0.1,Amanita-muscaria
7.0,4.1,4.7,8.4,Paxillus-involutus
6.4,4.1,4.8,8.8,Paxillus-involutus
6.3,4.8,4.3,8.8,Paxillus-involutus
8.8,1.4,4.0,8.4,Paxillus-involutus
6.8,1.8,4.6,8.8,Paxillus-involutus
8.7,1.8,4.8,8.4,Paxillus-involutus
6.4,4.4,4.7,8.6,Paxillus-involutus
4.3,1.4,4.4,8.0,Paxillus-involutus
6.6,1.3,4.6,8.4,Paxillus-involutus
8.1,1.7,4.3,8.4,Paxillus-involutus
8.0,1.0,4.8,8.0,Paxillus-involutus
8.3,4.0,4.1,8.8,Paxillus-involutus
6.0,1.1,4.0,8.0,Paxillus-involutus
6.8,1.3,4.7,8.4,Paxillus-involutus
8.6,1.3,4.6,8.4,Paxillus-involutus
6.7,4.8,4.4,8.4,Paxillus-involutus
8.6,4.0,4.8,8.8,Paxillus-involutus
8.8,1.7,4.8,8.0,Paxillus-involutus
6.1,1.1,4.8,8.8,Paxillus-involutus
8.6,1.8,4.3,8.8,Paxillus-involutus
8.3,4.1,4.8,8.8,Paxillus-involutus
6.8,1.8,4.0,8.4,Paxillus-involutus
6.4,1.8,4.3,8.8,Paxillus-involutus
6.8,1.8,4.7,8.1,Paxillus-involutus
6.4,1.3,4.4,8.4,Paxillus-involutus
6.6,4.0,4.4,8.4,Paxillus-involutus
6.8,1.8,4.8,8.4,Paxillus-involutus
6.7,4.0,8.0,8.7,Paxillus-involutus
